"","clbid","credits","crsid","departments","halfcredit","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"1",5639,1,4,"['AMST']",NA,"['James Farrell']",100,"['RML 421']","Perspec Amer Culture",100,"False","False","",1,"C",20031,"['MWF 1045-1140']","Research",2003,34
"2",5640,1,12,"['AMST']",NA,"['James Farrell']",200,"","IS/Habit of My Heart",298,"False","False","",1,"O",20031,"","Research",2003,1
"3",5641,1,15,"['AMST']",NA,"['James Farrell']",300,"","IR/Sustainable Future",398,"False","False","",1,"O",20031,"","Research",2003,1
"4",5642,1,16,"['AFAM']",NA,"['Joseph L. Mbele']",200,"['RML 577']","Africa & the Americas",231,"False","False","",1,"C",20031,"['MWF 0905-1000']","Seminar",2003,31
"17",5655,1,27,"['ART']",NA,"['Kristen Lowe']",100,"['DC 216']","Honors Found Drawing",120,"False","False","",1,"C",20031,"['MWF 0800-1000']","Research",2003,15
"18",5656,1,29,"['ART']",NA,"['Margaret Ojala']",100,"['DC 102']","Found Photography",124,"False","False","A",1,"C",20031,"['MWF 0200-0400PM']","Research",2003,17
"19",5657,1,29,"['ART']",NA,"['Margaret Ojala']",100,"['DC 102']","Found Photography",124,"False","False","B",1,"C",20031,"['MWF 1045-1245PM']","Research",2003,11
"20",5658,1,31,"['ART']",NA,"['Nancy M. Thompson', 'Karil J. Kucera']",100,"['DC 305']","Ancient/Med World Art",150,"False","False","",1,"C",20031,"['MWF 1045-1140']","Research",2003,51
"21",5659,1,1499,"['ART']",NA,"['Staff']",200,"","Exp Visual Culture",220,"False","False","",1,"O",20031,"","Research",2003,0
"22",5660,1,33,"['ART']",NA,"['Wendell Arneson']",200,"['DC 214']","Oil/Acrylic Painting",221,"False","False","",1,"O",20031,"['MWF 1255-0255PM']","Research",2003,19
"23",5661,1,37,"['ART']",NA,"['Steven Edwins']",200,"['DC 116']","Arch Drawing/Design I",225,"False","False","",1,"O",20031,"['MWF 1255-0255PM']","Research",2003,11
"24",5662,1,39,"['ART']",NA,"['John Saurer']",200,"['DC 212']","Printmkg: Intaglio/Mono",227,"False","False","",1,"C",20031,"['MWF 1045-1245PM']","Research",2003,12
"25",5663,1,46,"['ART']",NA,"['Margaret Ojala']",200,"['DC 102']","Photography",238,"False","False","",1,"O",20031,"['MWF 1045-1245PM']","Research",2003,2
"26",5664,1,47,"['ART']",NA,"['David E. Ryan']",200,"['DC 101', 'DC 101']","Video Art Production",239,"False","False","",1,"C",20031,"['T 1145-0245PM', 'Th 1245-0345PM']","Research",2003,13
"27",5665,1,51,"['ART']",NA,"['Matthew Rohn']",200,"['DC 305']","Art 1880-1950",252,"False","False","",1,"C",20031,"['MWF 0905-1000']","Research",2003,30
"28",5666,1,57,"['ART']",NA,"['Karil J. Kucera']",200,"['DC 305']","Arts of China",259,"False","False","",1,"O",20031,"['MWF 0200-0255PM']","Research",2003,27
"29",5667,1,66,"['ART']",NA,"['Heather M. Brooks-Shirey']",200,"['DC 305', 'DC 305']","Topics in Art History",275,"False","False","",1,"C",20031,"['T 0935-1100', 'Th 0930-1050']","Topic",2003,23
"30",5668,1,69,"['ART']",NA,"['Wendell Arneson']",200,"","IS/Advanced Painting",298,"False","False","",1,"O",20031,"","Research",2003,4
"31",5669,1,69,"['ART']",NA,"['Ron Gallas']",200,"","IS/Clay Expression",298,"False","False","A",1,"O",20031,"","Research",2003,1
"32",5670,1,69,"['ART']",NA,"['Ron Gallas']",200,"","IS/Advanced Ceramics",298,"False","False","B",1,"O",20031,"","Research",2003,1
"33",5671,1,69,"['ART']",NA,"['Ron Gallas']",200,"","IS/Indep Ceramics",298,"False","False","C",1,"O",20031,"","Research",2003,1
"34",5672,1,69,"['ART']",NA,"['Ron Gallas']",200,"","IS/Ceramic Expression",298,"False","False","D",1,"O",20031,"","Research",2003,1
"35",5673,1,70,"['ART']",NA,"['John Saurer']",300,"['DC 204']","Topics Sem/Studio Art",340,"False","False","",1,"O",20031,"['MWF 0800-1000']","Topic",2003,17
"36",5674,1,75,"['ART']",NA,"['Matthew Rohn']",300,"","IR/Art Repro & Value",398,"False","False","",1,"O",20031,"","Research",2003,1
"37",5675,1,75,"['ART']",NA,"['Nancy M. Thompson']",300,"","IR/16th Cent Math/Art",398,"False","False","A",1,"O",20031,"","Research",2003,1
"38",5676,1,76,"['ASIAN']",NA,"['Barbara Reed']",100,"['OM 015', 'OM 015']","Family & Self/E Asia",111,"False","False","",1,"C",20031,"['T 1145-0110PM', 'Th 1245-0205PM']","Research",2003,20
"39",5677,1,78,"['ASIAN']",NA,"['Karil J. Kucera']",100,"['DC 305']","Asian Cultures",121,"False","False","",1,"O",20031,"['MWF 1150-1245PM']","Research",2003,33
"40",5678,1,83,"['ASIAN']",NA,"['Pin Pin Wan']",100,"['OM 001']","Cont China Thru Film",156,"False","False","",1,"C",20031,"['MWF 1045-1140']","Research",2003,28
