"","clbid","credits","crsid","departments","gereqs","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"1",8704,1,11,"['AMST']","","['James Farrell']",200,"","Academic Internship",294,"True","False","",2,"O",20042,"","Research",2004,1
"2",8705,1,11,"['AMST']","","['William A. Gorton']",200,"","Academic Internship",294,"True","False","A",2,"O",20042,"","Research",2004,1
"3",8706,1,28,"['ART']","","['Irve Dell']",100,"['DC 106', 'DC 106', 'DC 106']","Foundation Sculpture",122,"False","False","",2,"C",20042,"['M-F 0900-1000', 'M-F 1040-1210PM', 'M-F 0100-0300PM']","Research",2004,20
"4",8707,1,44,"['ART']","","['Wendell Arneson']",200,"['DC 216', 'DC 216', 'DC 216']","Advanced Drawing",233,"False","False","",2,"O",20042,"['M-F 0900-1000', 'M-F 1040-1210PM', 'M-F 0100-0300PM']","Research",2004,15
"5",8708,1,48,"['ART']","","['Ron Gallas']",200,"","Manhattan Art Interim",246,"False","False","",2,"C",20042,"","Research",2004,17
"6",8709,1,52,"['ART']","","['Matthew Rohn']",200,"['DC 305']","Art Since 1950",253,"False","False","",2,"C",20042,"['M-F 0100-0300PM']","Research",2004,33
"7",8710,1,65,"['ART']","","['Nancy M. Thompson']",200,"['DC 305']","Gothic Art",271,"False","False","",2,"O",20042,"['M-F 1040-1240PM']","Research",2004,27
"8",8711,1,68,"['ART']","","['Staff']",200,"","Academic Internship",294,"True","False","",2,"O",20042,"","Research",2004,0
"9",8712,1,69,"['ART']","","['Wendell Arneson']",200,"","IS/Adv Painting",298,"False","False","",2,"O",20042,"","Research",2004,1
"10",8713,1,69,"['ART']","","['Wendell Arneson']",200,"","IS/Oil/Acrylic",298,"False","False","A",2,"O",20042,"","Research",2004,1
"11",8714,1,69,"['ART']","","['Irve Dell']",200,"","IS/Bronze & Wood Sculpt",298,"False","False","B",2,"O",20042,"","Research",2004,1
"12",8715,1,69,"['ART']","","['John Saurer']",200,"","IS/Alt Firing Methods",298,"False","False","C",2,"O",20042,"","Research",2004,1
"13",8716,1,69,"['ART']","","['Heather M. Brooks-Shirey']",200,"","IS/Art/Culture Brazil",298,"False","False","D",2,"O",20042,"","Research",2004,1
"14",8717,1,69,"['ART']","","['Wendell Arneson']",200,"","IS/Mixed Media Draw",298,"False","False","E",2,"O",20042,"","Research",2004,1
"15",8718,1,69,"['ART']","","['Wendell Arneson']",200,"","IS/Jpn/Us Media Study",298,"False","False","F",2,"O",20042,"","Research",2004,1
"16",8719,1,69,"['ART']","","['John Saurer']",200,"","IS/Chicago Art Educ",298,"False","False","G",2,"O",20042,"","Research",2004,1
"17",8720,1,73,"['ART']","","['Staff']",300,"","Academic Internship",394,"True","False","",2,"O",20042,"","Research",2004,0
"18",8721,1,75,"['ART']","","['Wendell Arneson']",300,"","IR/Advanced Painting",398,"False","False","",2,"O",20042,"","Research",2004,1
"19",8722,1,79,"['ASIAN']","","['Phyllis Hyland Larson']",100,"['HH 501', 'HH 501']","Intro Japanese Film",124,"False","False","",2,"C",20042,"['M-Th 1040-1240PM', 'M-Th 0100-0300PM']","Research",2004,45
"20",8723,1,85,"['ASIAN']","","['Rika Ito']",200,"","Nat ID/China & Japan",212,"False","False","",2,"C",20042,"","Research",2004,20
"21",8724,1,88,"['ASIAN']","","['Pin Pin Wan']",200,"['OM 002']","Chinese Lit--Tr",236,"False","False","",2,"C",20042,"['M-Th 1040-1240PM']","Research",2004,27
"22",8725,1,90,"['ASIAN']","","['Katherine S. Tegtmeyer Pak']",200,"['OM 015']","Intl Politics Ne Asia",245,"False","False","",2,"O",20042,"['M-F 1040-1240PM']","Research",2004,10
"23",8726,1,93,"['ASIAN']","","['Staff']",200,"","Academic Internship",294,"True","False","",2,"O",20042,"","Research",2004,0
"24",8727,1,94,"['ASIAN']","","['Pin Pin Wan']",200,"","IS/Family in China",298,"False","False","",2,"O",20042,"","Research",2004,1
"25",8728,1,96,"['ASIAN']","","['Staff']",300,"","Academic Internship",394,"True","False","",2,"O",20042,"","Research",2004,0
"26",8729,1,97,"['ASIAN']","","['Robert Entenmann']",300,"","IR/Lau Family History",398,"False","False","",2,"O",20042,"","Research",2004,1
"27",8730,1,97,"['ASIAN']","","['Pin Pin Wan']",300,"","IR/Chinese Singapore",398,"False","False","A",2,"O",20042,"","Research",2004,1
"60",8763,1,225,"['CLASS']","","['Anne Groton']",100,"['OM 031']","Ancient Comedy-Tr",126,"False","False","",2,"C",20042,"['M-F 0100-0300PM']","Research",2004,36
"61",8764,1,228,"['CLASS']","","['Christopher M. Brunelle']",100,"['OM 031']","The Neverending Myth",129,"False","False","",2,"C",20042,"['M-F 1040-1240PM']","Research",2004,23
"62",8765,1,232,"['CLASS']","","['Steve T. Reece']",200,"","Class Studies Greece",251,"False","False","",2,"C",20042,"","Research",2004,30
"63",8766,1,233,"['CLASS']","","['Staff']",200,"","Academic Internship",294,"True","False","",2,"O",20042,"","Research",2004,0
