"","clbid","credits","crsid","departments","halfcredit","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"1",4711,1,9,"['AMST']",NA,"['Judy Kutulas']",200,"['HH 413', 'HH 413']","Top: Amer Adolescence",209,"False","False","",3,"C",20023,"['T 1145-0110PM', 'Th 1245-0205PM']","Topic",2002,29
"2",4712,1,12,"['AMST']",NA,"['James Farrell']",200,"","IS/Habits of My Heart",298,"False","False","",3,"O",20023,"","Research",2002,1
"3",4713,1,13,"['AMST']",NA,"['James Farrell']",300,"['HH 514']","Sem: Consumer Culture",301,"False","False","",3,"C",20023,"['MWF 1255-0150PM']","Seminar",2002,21
"15",4725,1,32,"['ART']",NA,"['Heather M. Brooks-Shirey']",100,"['DC 305', 'DC 305']","Renaissance--Present",151,"False","False","",3,"C",20023,"['T 0120-0245PM', 'Th 0215-0335PM']","Research",2002,39
"16",4726,1,34,"['ART']",NA,"['Wendell Arneson']",200,"['DC 116']","Watercolor Painting",222,"False","False","",3,"C",20023,"['MWF 1255-0255PM']","Research",2002,22
"17",4727,1,36,"['ART']",NA,"['Irve Dell']",200,"['DC 105', 'DC 105']","Sculpt: Metal Direct",224,"False","False","",3,"O",20023,"['T 1145-0245PM', 'Th 1245-0335PM']","Research",2002,12
"18",4728,1,38,"['ART']",NA,"['Jan Shoger']",200,"['DC 212']","Printmkg: Relief/Litho",226,"False","False","",3,"O",20023,"['MWF 1045-1245PM']","Research",2002,13
"19",4729,1,43,"['ART']",NA,"['John Saurer']",200,"['DC 216']","Figure Drawing",232,"False","False","",3,"C",20023,"['MWF 0800-1000']","Research",2002,21
"20",4730,1,45,"['ART']",NA,"['Monica Rudquist']",200,"['DC 115C', 'DC 115C']","Ceramics",234,"False","False","",3,"C",20023,"['T 1145-0245PM', 'Th 1245-0335PM']","Research",2002,12
"21",4731,1,59,"['ART']",NA,"['Karil J. Kucera']",200,"['DC 305']","World Architecture",261,"False","False","",3,"C",20023,"['MWF 0200-0255PM']","Research",2002,42
"22",4732,1,62,"['ART']",NA,"['Kristi Holden']",200,"['DC 305']","Arts of Scandinavia",266,"False","False","",3,"O",20023,"['MWF 0905-1000']","Research",2002,26
"23",4733,1,63,"['ART']",NA,"['Heather M. Brooks-Shirey']",200,"['DC 305', 'DC 305']","African Art History",269,"False","False","",3,"O",20023,"['T 0935-1100', 'Th 0930-1050']","Research",2002,29
"24",4734,1,68,"['ART']",NA,"['Wendell Arneson']",200,"","Academic Internship",294,"True","False","",3,"O",20023,"","Research",2002,1
"25",4735,1,69,"['ART']",NA,"['Jan Shoger']",200,"","IS/Illustration",298,"False","False","",3,"O",20023,"","Research",2002,1
"26",4736,1,69,"['ART']",NA,"['Monica Rudquist']",200,"","IS/Wheel Ceramics",298,"False","False","A",3,"O",20023,"","Research",2002,1
"27",4737,1,69,"['ART']",NA,"['Matthew Rohn']",200,"","IS/Reflective Wrt/Art",298,"False","False","B",3,"O",20023,"","Research",2002,1
"28",4738,1,69,"['ART']",NA,"['Wendell Arneson']",200,"","IS/Advanced Painting",298,"False","False","C",3,"O",20023,"","Research",2002,2
"29",4739,1,69,"['ART']",NA,"['Wendell Arneson']",200,"","IS/Interactive Draw",298,"False","False","D",3,"O",20023,"","Research",2002,1
"30",4740,1,69,"['ART']",NA,"['David E. Ryan']",200,"","IS/Ind Video Product",298,"False","False","E",3,"O",20023,"","Research",2002,1
"31",4741,1,69,"['ART']",NA,"['Wendell Arneson']",200,"","IS/Adv Oil Painting",298,"False","False","F",3,"O",20023,"","Research",2002,1
"32",4742,1,69,"['ART']",NA,"['Justin Newhall']",200,"","IS/Photography",298,"False","False","G",3,"O",20023,"","Research",2002,1
"33",4743,1,71,"['ART']",NA,"['John Saurer']",300,"['DC 305']","Sr Studies/Studio Art",343,"False","False","",3,"O",20023,"['Th 0700-1000PM']","Research",2002,37
"34",4744,1,72,"['ART']",NA,"['Matthew Rohn']",300,"['DC 204', 'DC 204']","Methods of Art Hist",350,"False","False","",3,"O",20023,"['T 0120-0245PM', 'Th 0215-0335PM']","Research",2002,9
"35",4745,1,74,"['ART']",NA,"['Matthew Rohn']",300,"['DC 204', 'DC 204']","Sr Studies-Art Hist",395,"False","False","",3,"O",20023,"['T 0120-0245PM', 'Th 0215-0335PM']","Research",2002,7
"36",4746,1,75,"['ART']",NA,"['Monica Rudquist']",300,"","IR/Vessels Uniformed",398,"False","False","",3,"O",20023,"","Research",2002,1
"37",4747,1,77,"['ASIAN']",NA,"['Robert Entenmann']",100,"['HH 515', 'HH 515']","East Asia & the West",112,"False","False","",3,"C",20023,"['T 1145-0110PM', 'Th 1245-0205PM']","Research",2002,22
"38",4748,1,78,"['ASIAN']",NA,"['Karil J. Kucera']",100,"['SC 184', 'SC 184']","Asian Cultures",121,"False","False","",3,"C",20023,"['T 0120-0245PM', 'Th 0215-0335PM']","Research",2002,41
"39",4749,1,87,"['ASIAN']",NA,"['Phyllis Hyland Larson']",200,"['BMC 102']","Modrn Japanese Lit-Tr",235,"False","False","",3,"C",20023,"['MWF 1150-1245PM']","Research",2002,31
"40",4750,1,94,"['ASIAN']",NA,"['Rika Ito']",200,"","IS/Japanese Dialects",298,"False","False","",3,"O",20023,"","Research",2002,1
"41",4751,1,94,"['ASIAN']",NA,"['Richard Bodman']",200,"","IS/China's Environmnt",298,"False","False","A",3,"O",20023,"","Research",2002,1
"42",4752,1,94,"['ASIAN']",NA,"['Rika Ito']",200,"","IS/Reading in Japan",298,"False","False","B",3,"O",20023,"","Research",2002,1
